2023-08-27 00:49:33,351 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Current SDK version is 0.15.8
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Configure stats pid to 3487
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Loading settings from /home/a/.config/wandb/settings
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Loading settings from /home/a/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/process_data/wandb/settings
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'run_group': 'dev', 'project': 'experiment_3'}
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/process_data/run.py', 'program': '/home/a/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/process_data/run.py'}
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_init.py:_log_setup():507] Logging user logs to /home/a/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/process_data/wandb/run-20230827_004933-v1dothtv/logs/debug.log
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_init.py:_log_setup():508] Logging internal logs to /home/a/cd0581-building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_3/starter/process_data/wandb/run-20230827_004933-v1dothtv/logs/debug-internal.log
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_init.py:init():547] calling init triggers
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_init.py:init():596] starting backend
2023-08-27 00:49:33,352 INFO    MainThread:3487 [wandb_init.py:init():600] setting up manager
2023-08-27 00:49:33,354 INFO    MainThread:3487 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-27 00:49:33,355 INFO    MainThread:3487 [wandb_init.py:init():606] backend started and connected
2023-08-27 00:49:33,357 INFO    MainThread:3487 [wandb_init.py:init():697] updated telemetry
2023-08-27 00:49:33,360 INFO    MainThread:3487 [wandb_init.py:init():730] communicating run to backend with 60.0 second timeout
2023-08-27 00:49:33,745 INFO    MainThread:3487 [wandb_run.py:_on_init():2180] communicating current version
2023-08-27 00:49:33,887 INFO    MainThread:3487 [wandb_run.py:_on_init():2189] got version response 
2023-08-27 00:49:33,887 INFO    MainThread:3487 [wandb_init.py:init():781] starting run threads in backend
2023-08-27 00:49:53,547 INFO    MainThread:3487 [wandb_run.py:_console_start():2159] atexit reg
2023-08-27 00:49:53,547 INFO    MainThread:3487 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-27 00:49:53,548 INFO    MainThread:3487 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-27 00:49:53,548 INFO    MainThread:3487 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-27 00:49:53,549 INFO    MainThread:3487 [wandb_init.py:init():822] run started, returning control to user process
2023-08-27 00:50:05,864 WARNING MsgRouterThr:3487 [router.py:message_loop():77] message_loop has been closed
